open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1747699200000,649.960,653.730,648.290,649.370,27990.43,1747702799999,18227517.85630,42697,12578.31,8194451.26540,0
1747702800000,649.370,653.000,649.190,651.510,16697.61,1747706399999,10875931.21150,32848,8114.95,5285305.06850,0
1747706400000,651.520,654.140,650.660,651.090,17111.76,1747709999999,11166829.92490,35350,8202.89,5353697.04650,0
1747710000000,651.090,652.100,649.830,650.670,12712.37,1747713599999,8272002.90590,25524,5727.67,3726861.36950,0
1747713600000,650.670,651.720,648.820,651.390,14170.18,1747717199999,9211907.87100,23993,7733.12,5027276.74430,0
1747717200000,651.400,652.610,650.440,652.080,25611.77,1747720799999,16686254.44930,24840,14661.16,9550307.06730,0
1747720800000,652.080,652.380,649.470,650.630,13880.20,1747724399999,9032148.32860,23718,6952.88,4524394.21480,0
1747724400000,650.630,650.900,646.490,647.610,20441.40,1747727999999,13256079.01540,36864,10112.42,6558223.78090,0
1747728000000,647.610,648.310,645.540,648.160,15320.82,1747731599999,9914637.80010,29867,8993.03,5821213.28400,0
1747731600000,648.160,648.500,646.550,648.340,12645.19,1747735199999,8190465.02140,22944,6749.53,4372097.75190,0
1747735200000,648.350,648.480,644.550,645.620,14849.41,1747738799999,9596255.81040,30310,7324.59,4734123.36750,0
1747738800000,645.620,645.730,641.650,643.830,25890.75,1747742399999,16667101.06070,41403,13966.43,8991415.10620,0
1747742400000,643.830,643.880,641.000,642.480,25602.96,1747745999999,16437290.24060,34939,13478.31,8652457.88730,0
1747746000000,642.480,643.050,640.220,641.310,20895.35,1747749599999,13408635.65010,38776,9314.94,5978407.24290,0
1747749600000,641.320,643.620,640.340,642.280,17967.39,1747753199999,11535997.66720,38818,8369.10,5372846.68990,0
1747753200000,642.290,645.670,642.180,644.660,17417.60,1747756799999,11220872.22420,29376,9247.06,5956959.44750,0
1747756800000,644.660,646.240,643.500,644.980,14231.69,1747760399999,9175881.81070,28768,6670.89,4301864.28830,0
1747760400000,644.990,647.790,644.990,646.690,16033.67,1747763999999,10368702.08720,34164,7330.69,4740792.11060,0
1747764000000,646.680,647.680,642.780,643.700,18233.82,1747767599999,11772329.41600,34524,9418.83,6082165.44450,0
1747767600000,643.690,649.170,643.460,648.100,15564.51,1747771199999,10067268.58880,35418,8127.70,5257846.81840,0
1747771200000,648.100,649.800,647.190,649.790,14573.13,1747774799999,9449952.60870,30325,7083.27,4593293.64800,0
1747774800000,649.800,650.970,648.000,650.160,12287.06,1747778399999,7985089.17820,35894,6051.56,3932355.82220,0
1747778400000,650.170,650.910,648.630,650.880,12569.64,1747781999999,8170390.46170,27434,6309.22,4100369.42550,0
1747782000000,650.890,652.970,650.050,650.370,18354.33,1747785599999,11956678.27020,32001,8895.36,5795145.82010,0
