open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1747699200000,0.3695000,0.3757000,0.3691000,0.3748000,16003937,1747700099999,5966861.4049000,13495,9486320,3536719.6627000,0
1747700100000,0.3748000,0.3797000,0.3700000,0.3708000,27895967,1747700999999,10461035.4131000,19970,12786029,4797310.0167000,0
1747701000000,0.3708000,0.3743000,0.3686000,0.3699000,20133366,1747701899999,7475885.7018000,16923,11308412,4202719.3665000,0
1747701900000,0.3698000,0.3709000,0.3655000,0.3658000,13453028,1747702799999,4940764.7666000,11743,5960591,2189712.2984000,0
1747702800000,0.3657000,0.3685000,0.3642000,0.3667000,15786241,1747703699999,5785856.3897000,14174,7488227,2747116.4535000,0
1747703700000,0.3667000,0.3709000,0.3657000,0.3706000,12121705,1747704599999,4472949.6988000,12059,6865535,2533530.7622000,0
1747704600000,0.3705000,0.3829000,0.3702000,0.3768000,34722659,1747705499999,13119170.0904000,23050,19583784,7392438.1271000,0
1747705500000,0.3768000,0.3822000,0.3742000,0.3775000,20104650,1747706399999,7602680.2151000,16200,10302964,3894856.9918000,0
1747706400000,0.3775000,0.3882000,0.3775000,0.3877000,29300361,1747707299999,11248006.2053000,21272,15634886,6002983.1722000,0
1747707300000,0.3878000,0.3978000,0.3847000,0.3909000,45060993,1747708199999,17650881.2325000,32382,22727973,8908049.2732000,0
1747708200000,0.3910000,0.3967000,0.3910000,0.3928000,24352755,1747709099999,9606218.6861000,21087,11363391,4483550.1251000,0
1747709100000,0.3929000,0.3961000,0.3852000,0.3869000,36617815,1747709999999,14283165.9920000,25753,15303311,5976024.0832000,0
1747710000000,0.3870000,0.3892000,0.3824000,0.3831000,23542029,1747710899999,9075007.3959000,18306,10273545,3964579.7741000,0
1747710900000,0.3830000,0.3888000,0.3807000,0.3870000,17937368,1747711799999,6893342.1620000,15828,9808129,3772933.6073000,0
1747711800000,0.3869000,0.3872000,0.3801000,0.3808000,14964710,1747712699999,5720883.5533000,13852,5954594,2275969.9575000,0
1747712700000,0.3808000,0.3854000,0.3796000,0.3849000,9609983,1747713599999,3676126.5380000,9268,5681090,2174569.1110000,0
1747713600000,0.3849000,0.3864000,0.3800000,0.3814000,11526508,1747714499999,4408781.0717000,12899,5240536,2003993.8705000,0
1747714500000,0.3815000,0.3815000,0.3784000,0.3793000,10303017,1747715399999,3914507.6857000,9563,4060130,1542428.4838000,0
1747715400000,0.3793000,0.3815000,0.3785000,0.3793000,7101028,1747716299999,2699034.1023000,8186,3880590,1475180.3352000,0
1747716300000,0.3792000,0.3849000,0.3791000,0.3835000,11495229,1747717199999,4400169.6719000,10872,6732376,2577768.7532000,0
1747717200000,0.3835000,0.3878000,0.3818000,0.3866000,12102153,1747718099999,4660248.2051000,12778,6656821,2564517.3876000,0
1747718100000,0.3867000,0.3891000,0.3853000,0.3860000,11241910,1747718999999,4351434.8041000,9884,4937352,1911619.2132000,0
1747719000000,0.3860000,0.3874000,0.3829000,0.3838000,11235280,1747719899999,4326342.1689000,10340,5135484,1978251.0128000,0
1747719900000,0.3838000,0.3845000,0.3811000,0.3814000,6731385,1747720799999,2578469.9473000,7635,2925714,1121585.6197000,0
1747720800000,0.3814000,0.3828000,0.3767000,0.3774000,14974243,1747721699999,5674457.0189000,12892,5899699,2237547.0127000,0
1747721700000,0.3774000,0.3801000,0.3757000,0.3776000,11407794,1747722599999,4311073.2291000,10491,5794473,2191016.7349000,0
1747722600000,0.3776000,0.3804000,0.3766000,0.3788000,8801834,1747723499999,3331323.7008000,8671,5058711,1914846.6559000,0
1747723500000,0.3789000,0.3819000,0.3780000,0.3807000,6703342,1747724399999,2550643.1113000,8033,4510176,1716102.9297000,0
1747724400000,0.3808000,0.3820000,0.3752000,0.3778000,15896124,1747725299999,6019398.1747000,15113,6706927,2539861.6725000,0
1747725300000,0.3778000,0.3788000,0.3736000,0.3758000,21141584,1747726199999,7933236.5339000,14671,7742153,2907172.6225000,0
1747726200000,0.3758000,0.3767000,0.3722000,0.3730000,11739235,1747727099999,4386520.6123000,11349,4591275,1715773.7897000,0
1747727100000,0.3730000,0.3742000,0.3702000,0.3734000,11729236,1747727999999,4367790.0774000,9410,5601260,2088085.1319000,0
1747728000000,0.3734000,0.3769000,0.3716000,0.3719000,13754191,1747728899999,5152780.1772000,12784,6940724,2602888.1730000,0
1747728900000,0.3718000,0.3752000,0.3716000,0.3732000,10944334,1747729799999,4087571.2476000,9417,6370423,2379614.2183000,0
1747729800000,0.3733000,0.3767000,0.3722000,0.3764000,10498948,1747730699999,3933450.8220000,9529,7327545,2745966.6505000,0
1747730700000,0.3764000,0.3784000,0.3730000,0.3736000,9194905,1747731599999,3456009.4294000,8504,4061215,1526275.8492000,0
1747731600000,0.3735000,0.3760000,0.3721000,0.3736000,6765721,1747732499999,2532585.1182000,7995,3406969,1275475.6682000,0
1747732500000,0.3737000,0.3742000,0.3707000,0.3725000,7956610,1747733399999,2962446.6198000,7916,3670408,1367954.1956000,0
1747733400000,0.3726000,0.3747000,0.3720000,0.3736000,5117727,1747734299999,1911097.7732000,6652,3043520,1136740.3373000,0
1747734300000,0.3735000,0.3741000,0.3722000,0.3727000,5662318,1747735199999,2113207.1126000,5884,3062123,1142929.6381000,0
1747735200000,0.3728000,0.3736000,0.3684000,0.3700000,16085187,1747736099999,5964764.4626000,12307,6529387,2422784.8915000,0
1747736100000,0.3699000,0.3705000,0.3674000,0.3686000,12181740,1747736999999,4491783.7228000,9849,4730812,1745612.8440000,0
1747737000000,0.3686000,0.3687000,0.3660000,0.3676000,12697630,1747737899999,4662048.2757000,9822,5070662,1862118.9413000,0
1747737900000,0.3677000,0.3701000,0.3654000,0.3695000,12508534,1747738799999,4603536.3692000,8999,6989413,2574783.7461000,0
1747738800000,0.3696000,0.3701000,0.3655000,0.3659000,11864229,1747739699999,4357327.0354000,8839,4581655,1682682.5999000,0
1747739700000,0.3658000,0.3692000,0.3653000,0.3686000,8935340,1747740599999,3277683.5775000,7920,5197534,1907471.7725000,0
1747740600000,0.3687000,0.3730000,0.3686000,0.3719000,14201924,1747741499999,5273980.9538000,9745,9222561,3423805.7940000,0
1747741500000,0.3718000,0.3721000,0.3694000,0.3713000,5404700,1747742399999,2003187.6888000,5800,2315122,858255.3694000,0
1747742400000,0.3712000,0.3712000,0.3665000,0.3672000,8683270,1747743299999,3199149.5133000,8540,3810283,1404124.7715000,0
1747743300000,0.3672000,0.3688000,0.3661000,0.3666000,6869864,1747744199999,2522559.5907000,6370,3680379,1351632.9010000,0
1747744200000,0.3667000,0.3674000,0.3620000,0.3636000,24011032,1747745099999,8735405.1260000,13706,9206393,3350734.4741000,0
1747745100000,0.3636000,0.3663000,0.3625000,0.3661000,10778404,1747745999999,3925330.3452000,7534,6176799,2250849.9730000,0
1747746000000,0.3662000,0.3680000,0.3645000,0.3647000,7251611,1747746899999,2656848.4521000,7938,3187156,1168386.5760000,0
