open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1747699200000,2526.87,2563.33,2510.32,2514.34,417509.931,1747702799999,1058107845.47280,467355,206406.802,523294195.75398,0
1747702800000,2514.33,2549.00,2509.52,2539.53,206925.232,1747706399999,523756047.34725,278742,119532.925,302520568.42874,0
1747706400000,2539.52,2588.00,2538.87,2566.01,491706.090,1747709999999,1263610312.77257,475389,242770.777,624000560.85243,0
1747710000000,2566.02,2579.77,2542.48,2552.08,361332.364,1747713599999,925499400.12950,311058,176545.812,452263530.04299,0
1747713600000,2552.08,2577.54,2543.78,2569.99,201524.810,1747717199999,515753310.95927,207003,113807.273,291305068.27607,0
1747717200000,2570.00,2575.34,2555.55,2558.33,168802.345,1747720799999,433317308.19888,180477,74084.901,190194212.10605,0
1747720800000,2558.32,2560.62,2533.33,2542.76,243734.148,1747724399999,620019489.99108,250345,116966.457,297585822.05652,0
1747724400000,2542.75,2546.00,2520.66,2531.20,299282.029,1747727999999,758096462.68649,269692,140705.226,356468839.58704,0
1747728000000,2531.21,2539.00,2520.80,2533.36,188482.852,1747731599999,476841381.24689,193441,99630.951,252104851.54234,0
1747731600000,2533.36,2538.83,2523.56,2525.38,125192.372,1747735199999,316916878.68761,148626,58874.838,149056452.76231,0
1747735200000,2525.39,2532.98,2506.66,2514.98,249426.742,1747738799999,627588144.40609,237811,121354.531,305345781.96397,0
1747738800000,2514.98,2518.51,2491.00,2513.32,324537.556,1747742399999,813441209.66138,264670,142521.084,357359124.68705,0
1747742400000,2513.32,2514.31,2477.28,2483.39,371319.192,1747745999999,925654596.62155,301409,160600.299,400304932.68274,0
1747746000000,2483.39,2491.25,2463.00,2474.51,396429.327,1747749599999,981839356.99232,367558,186020.569,460857152.12462,0
1747749600000,2474.52,2488.80,2465.15,2467.66,325010.136,1747753199999,804688826.90518,318635,163616.378,405167189.59387,0
1747753200000,2467.66,2492.04,2466.60,2481.52,247110.519,1747756799999,612964962.79912,246072,129466.547,321140374.48514,0
1747756800000,2481.52,2489.11,2467.36,2473.82,168097.047,1747760399999,416477569.60787,194092,80580.140,199666553.18466,0
1747760400000,2473.83,2507.78,2473.10,2495.94,312711.994,1747763999999,779839172.14515,281664,166102.680,414261705.30865,0
1747764000000,2495.91,2503.00,2438.39,2451.71,488661.048,1747767599999,1206821932.36668,403152,214241.165,529261810.84997,0
1747767600000,2451.71,2511.05,2446.19,2500.25,373239.384,1747771199999,924911577.43052,323733,210801.202,522358009.94721,0
1747771200000,2500.25,2522.78,2483.50,2512.58,327451.014,1747774799999,819673716.76487,287535,168516.161,422109476.35231,0
1747774800000,2512.59,2526.01,2488.50,2509.14,232045.367,1747778399999,581889040.92899,230737,102753.692,257777374.81406,0
1747778400000,2509.13,2516.93,2486.75,2515.34,209260.728,1747781999999,523416021.22013,222776,102738.937,257007651.04039,0
1747782000000,2515.33,2540.47,2512.39,2523.09,216171.405,1747785599999,546023892.70619,226734,114579.293,289506947.86965,0
