open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1747699200000,2526.87,2529.91,2526.63,2527.20,3949.514,1747699259999,9985833.80451,4834,2600.943,6576373.91033,0
1747699260000,2527.20,2529.92,2526.68,2527.98,1847.630,1747699319999,4671223.30127,2943,814.541,2059273.35708,0
1747699320000,2527.97,2530.25,2526.57,2530.24,5215.551,1747699379999,13185748.38130,4264,636.159,1608773.19350,0
1747699380000,2530.24,2530.43,2522.42,2527.34,8771.274,1747699439999,22155693.32025,6871,1272.969,3214353.73618,0
1747699440000,2527.34,2529.99,2525.85,2528.95,1443.740,1747699499999,3649753.01083,2795,603.936,1526804.35882,0
1747699500000,2528.95,2532.33,2528.26,2531.61,4855.255,1747699559999,12287855.68874,5125,3175.559,8037354.46148,0
1747699560000,2531.62,2536.83,2530.97,2535.03,14355.920,1747699619999,36382833.32429,11335,10002.597,25350345.09376,0
1747699620000,2535.04,2536.39,2533.04,2534.16,4574.942,1747699679999,11594702.29198,5383,1786.145,4526852.26400,0
1747699680000,2534.17,2536.23,2533.65,2534.55,2302.529,1747699739999,5835901.14326,2933,1480.529,3752434.67449,0
1747699740000,2534.56,2536.73,2534.56,2535.11,2672.472,1747699799999,6776368.80355,3330,1473.150,3735321.56375,0
1747699800000,2535.10,2535.49,2532.93,2534.51,3054.353,1747699859999,7739887.95338,3416,852.945,2161648.32851,0
1747699860000,2534.52,2538.00,2534.31,2537.44,3544.233,1747699919999,8991624.64907,4517,2319.660,5884841.11992,0
1747699920000,2537.44,2541.33,2537.34,2539.16,10497.024,1747699979999,26655974.23832,9391,8497.297,21578172.74197,0
1747699980000,2539.17,2543.73,2538.30,2543.41,7222.972,1747700039999,18356495.61757,11267,5504.572,13990069.94917,0
1747700040000,2543.42,2545.00,2542.36,2542.36,7780.954,1747700099999,19792317.73426,9748,5839.363,14854199.30546,0
1747700100000,2542.35,2554.60,2542.35,2552.41,25103.894,1747700159999,64007096.38295,21593,18124.051,46213677.59144,0
1747700160000,2552.40,2560.00,2550.70,2558.78,17723.406,1747700219999,45291670.98358,16899,10164.785,25978537.22731,0
1747700220000,2558.77,2563.09,2552.94,2562.99,11567.003,1747700279999,29604763.83971,16754,6544.748,16752851.36883,0
1747700280000,2562.99,2563.33,2554.00,2555.85,9498.636,1747700339999,24298429.73115,13726,2832.445,7246720.03736,0
1747700340000,2555.85,2560.06,2554.22,2555.85,5543.035,1747700399999,14173556.59150,7048,2223.856,5686532.00370,0
1747700400000,2555.86,2557.10,2550.19,2550.76,5979.945,1747700459999,15268820.31178,9431,1680.716,4291984.93391,0
1747700460000,2550.76,2550.81,2543.97,2547.45,9911.047,1747700519999,25246083.39182,11168,3909.309,9957357.51150,0
1747700520000,2547.45,2547.93,2540.66,2541.90,9302.499,1747700579999,23655458.53847,9427,2751.029,6995942.37592,0
1747700580000,2541.89,2541.94,2537.54,2539.81,8034.997,1747700639999,20403042.37306,8503,2590.738,6579263.75860,0
1747700640000,2539.80,2539.81,2536.00,2537.64,10374.319,1747700699999,26324274.58534,10387,4350.390,11039108.93552,0
1747700700000,2537.64,2546.16,2537.64,2543.60,10400.335,1747700759999,26463745.62988,12682,5708.856,14524313.95887,0
1747700760000,2543.60,2543.60,2532.59,2533.30,7639.655,1747700819999,19381989.57756,10567,1801.994,4573554.72789,0
1747700820000,2533.30,2533.74,2528.68,2533.05,13485.374,1747700879999,34139594.46716,11616,6149.951,15568360.11114,0
1747700880000,2533.05,2536.86,2531.10,2533.91,7137.449,1747700939999,18088113.11715,8059,3353.216,8498119.32593,0
1747700940000,2533.91,2534.00,2529.53,2530.97,5753.012,1747700999999,14565928.72421,7930,2771.891,7017898.64516,0
1747701000000,2530.97,2534.01,2525.60,2528.31,7520.969,1747701059999,19028862.19586,9050,2946.047,7455460.25292,0
1747701060000,2528.32,2530.08,2522.24,2529.39,16188.698,1747701119999,40901315.17825,14088,7496.054,18941961.58294,0
1747701120000,2529.65,2531.22,2524.99,2527.55,7245.526,1747701179999,18313840.37874,8058,3639.058,9200617.97913,0
