create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-04 00:05:00,BNBUSDT,543923.8000000000000000,335579227.6480000000000000,2.59741899,1.24729800,2.61876901,0.44381900
2026-05-04 00:10:00,BNBUSDT,544482.5200000000000000,335710788.7475534700000000,2.60022459,1.24652700,2.61867249,1.21400100
2026-05-04 00:15:00,BNBUSDT,544566.7000000000000000,336024882.2350000000000000,2.59949445,1.24580400,2.61788110,2.41851100
2026-05-04 00:20:00,BNBUSDT,544763.0700000000000000,335876901.0791809000000000,2.59823183,1.24556700,2.62048240,1.00656500
2026-05-04 00:25:00,BNBUSDT,544926.4400000000000000,335778223.0636000000000000,2.60621835,1.24498100,2.62926982,0.65400500
2026-05-04 00:30:00,BNBUSDT,545611.2800000000000000,336352322.1327756600000000,2.60912419,1.24019200,2.63527935,1.59768300
2026-05-04 00:35:00,BNBUSDT,545378.1900000000000000,336367452.4644000000000000,2.61050852,1.24334200,2.62815291,2.27019600
2026-05-04 00:40:00,BNBUSDT,545436.6900000000000000,336163540.7808000000000000,2.61203495,1.24163700,2.63201631,0.88258900
2026-05-04 00:45:00,BNBUSDT,545475.3300000000000000,336334633.7247000000000000,2.61353066,1.24067900,2.63762656,3.11924900
2026-05-04 00:50:00,BNBUSDT,545668.0400000000000000,336475121.8128463600000000,2.62252685,1.23990400,2.63726260,1.29927200
2026-05-04 00:55:00,BNBUSDT,545762.0500000000000000,336704440.3927763700000000,2.63795061,1.24050400,2.65357931,1.76631500
2026-05-04 01:00:00,BNBUSDT,545862.1700000000000000,336972592.8325532000000000,2.65572835,1.23998400,2.66679851,1.20247500
2026-05-04 01:05:00,BNBUSDT,546137.9200000000000000,337111660.4396998000000000,2.65516750,1.23820900,2.65576226,4.58497000
2026-05-04 01:10:00,BNBUSDT,545811.2400000000000000,336978401.4636000000000000,2.65327635,1.23758000,2.66185176,0.33027400
2026-05-04 01:15:00,BNBUSDT,545837.7500000000000000,337041956.7191171600000000,2.65583583,1.23708800,2.66319280,1.13834500
2026-05-04 01:20:00,BNBUSDT,545625.4700000000000000,336696301.6498021500000000,2.65351752,1.23755100,2.66532385,0.41416400
