create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-07-24 00:05:00,BTCUSDT,87577.5240000000000000,10386201019.3514040000000000,1.08653821,1.83820100,0.89197138,1.00820000
2025-07-24 00:10:00,BTCUSDT,87576.3520000000000000,10396009137.9276050000000000,1.08565163,1.83863700,0.89063448,1.23800000
2025-07-24 00:15:00,BTCUSDT,87618.9730000000000000,10400591142.5325000000000000,1.08769658,1.83754300,0.89252197,1.16359100
2025-07-24 00:20:00,BTCUSDT,87822.5610000000000000,10439037495.5211000000000000,1.08637962,1.84257100,0.89240137,2.32469100
2025-07-24 00:25:00,BTCUSDT,87701.7560000000000000,10426256628.7236000000000000,1.08775505,1.84412600,0.89393704,2.55891100
2025-07-24 00:30:00,BTCUSDT,88074.1620000000000000,10480949513.5175610000000000,1.06961390,1.86158200,0.88114269,2.22635000
2025-07-24 00:35:00,BTCUSDT,88076.1960000000000000,10485583032.3734050000000000,1.07493929,1.85684600,0.88392751,0.98843000
2025-07-24 00:40:00,BTCUSDT,88103.7430000000000000,10490741748.7418000000000000,1.07454219,1.86037300,0.88385425,1.00908800
2025-07-24 00:45:00,BTCUSDT,88066.2580000000000000,10481126436.2378000000000000,1.07285240,1.85931300,0.88150613,0.48667300
2025-07-24 00:50:00,BTCUSDT,88030.9240000000000000,10475671152.9076000000000000,1.07076291,1.85943500,0.87805836,1.03859800
2025-07-24 00:55:00,BTCUSDT,88085.8620000000000000,10486753999.8930000000000000,1.07074057,1.86219100,0.87801425,1.17738500
2025-07-24 01:00:00,BTCUSDT,88061.8930000000000000,10481478752.4320000000000000,1.06928923,1.86083900,0.87636817,0.58325100
2025-07-24 01:05:00,BTCUSDT,88057.7040000000000000,10477412359.4465180000000000,1.06859215,1.86131100,0.87498517,0.76672200
2025-07-24 01:10:00,BTCUSDT,88063.8010000000000000,10467386676.1814000000000000,1.06878085,1.85936500,0.87595063,0.69408000
2025-07-24 01:15:00,BTCUSDT,88034.1370000000000000,10460885217.7812000000000000,1.06718082,1.85861300,0.87324393,0.98719700
2025-07-24 01:20:00,BTCUSDT,88063.4260000000000000,10475900335.9876800000000000,1.06644649,1.85921700,0.87289678,1.34559100
2025-07-24 01:25:00,BTCUSDT,88196.7360000000000000,10494627970.7003900000000000,1.06421130,1.86381900,0.87098449,4.69976900
2025-07-24 01:30:00,BTCUSDT,88171.6690000000000000,10486497014.0103700000000000,1.06362495,1.86343900,0.87052361,1.08832200
2025-07-24 01:35:00,BTCUSDT,88203.0670000000000000,10483156497.3794000000000000,1.06204084,1.86320000,0.86873528,0.73836700
2025-07-24 01:40:00,BTCUSDT,88178.6810000000000000,10493448896.3371680000000000,1.06310921,1.86266100,0.86620173,0.78836600
2025-07-24 01:45:00,BTCUSDT,88202.4100000000000000,10492722765.7420560000000000,1.06246572,1.86066300,0.86543830,0.84105000
2025-07-24 01:50:00,BTCUSDT,88215.1650000000000000,10499946396.3685500000000000,1.06136298,1.86168300,0.86479771,1.51801100
2025-07-24 01:55:00,BTCUSDT,88237.7670000000000000,10504825627.6133610000000000,1.06128999,1.86181200,0.86541977,1.31794200
2025-07-24 02:00:00,BTCUSDT,88221.8410000000000000,10503747716.0610800000000000,1.06150514,1.86204100,0.86596283,0.71460400
2025-07-24 02:05:00,BTCUSDT,88230.4200000000000000,10496909572.9663700000000000,1.06248206,1.86384300,0.86588737,0.26691800
2025-07-24 02:10:00,BTCUSDT,88197.3510000000000000,10486276965.5556000000000000,1.01026804,1.86327500,0.86395871,0.61863200
2025-07-24 02:15:00,BTCUSDT,88185.7050000000000000,10486091632.9860000000000000,1.00808987,1.85946100,0.86194440,0.60084600
2025-07-24 02:20:00,BTCUSDT,88193.6800000000000000,10479411180.5360000000000000,1.00596572,1.86060200,0.85942992,0.31066400
2025-07-24 02:25:00,BTCUSDT,88190.0000000000000000,10475480091.0478730000000000,1.00462467,1.86268900,0.85710120,0.69893000
2025-07-24 02:30:00,BTCUSDT,88273.4810000000000000,10488655012.4200000000000000,1.00313838,1.86617400,0.85522407,0.68731100
