create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-07-18 00:05:00,ENAUSDT,416516958.0000000000000000,158321411.2107857000000000,3.37032520,2.74517300,2.97617957,0.97810900
2025-07-18 00:10:00,ENAUSDT,416514385.0000000000000000,156989374.0077162400000000,3.38474092,2.74960100,2.97800183,0.75358800
2025-07-18 00:15:00,ENAUSDT,416220891.0000000000000000,156270449.8538271500000000,3.36311710,2.75757700,2.95512821,0.54453100
2025-07-18 00:20:00,ENAUSDT,416318874.0000000000000000,156029378.1027591500000000,3.33617194,2.75835800,2.93084622,1.83151500
2025-07-18 00:25:00,ENAUSDT,416726897.0000000000000000,157463558.5084742300000000,3.35443038,2.76748500,2.92132788,1.93827000
2025-07-18 00:30:00,ENAUSDT,417003380.0000000000000000,157585577.3020000000000000,3.35568275,2.76526500,2.92845751,1.22607200
2025-07-18 00:35:00,ENAUSDT,417662837.0000000000000000,158761158.0981376200000000,3.36471551,2.76565200,2.95121393,1.28043800
2025-07-18 00:40:00,ENAUSDT,417854112.0000000000000000,159760916.2995580700000000,3.33645240,2.76735500,2.92687927,1.80448700
2025-07-18 00:45:00,ENAUSDT,417733285.0000000000000000,160647919.1657567600000000,3.33848029,2.76845100,2.93463903,1.14944000
2025-07-18 00:50:00,ENAUSDT,418326764.0000000000000000,161306800.1984000000000000,3.15838384,2.77614000,2.81919238,1.09577200
2025-07-18 00:55:00,ENAUSDT,418029742.0000000000000000,161689560.8765806300000000,3.15310234,2.76318500,2.81018100,1.17043600
2025-07-18 01:00:00,ENAUSDT,418431605.0000000000000000,162488310.7964152400000000,3.14526485,2.78443500,2.79891916,1.87055300
2025-07-18 01:05:00,ENAUSDT,418762587.0000000000000000,161919198.3406398300000000,2.71250433,2.79215300,2.52003238,0.79995400
2025-07-18 01:10:00,ENAUSDT,418568556.0000000000000000,163081751.5665256700000000,2.69270475,2.79518300,2.51763275,2.01250100
2025-07-18 01:15:00,ENAUSDT,420053416.0000000000000000,166887222.1768000000000000,2.80738595,2.84016900,2.67432286,1.33931800
2025-07-18 01:20:00,ENAUSDT,420004700.0000000000000000,165724232.3123230000000000,2.82323049,2.82627700,2.67713296,0.99675500
2025-07-18 01:25:00,ENAUSDT,420109969.0000000000000000,164509362.9681206600000000,2.83825137,2.82270300,2.69664634,0.55931600
2025-07-18 01:30:00,ENAUSDT,419619093.0000000000000000,164387004.9705015700000000,2.81900617,2.83304700,2.67497291,1.14353100
2025-07-18 01:35:00,ENAUSDT,419482708.0000000000000000,165402388.3247018000000000,2.80730296,2.84596300,2.65804226,1.28679000
2025-07-18 01:40:00,ENAUSDT,419648544.0000000000000000,165719210.0256000000000000,2.81571325,2.83230800,2.65977606,1.11474500
2025-07-18 01:45:00,ENAUSDT,418826480.0000000000000000,164949854.4307416000000000,2.82312432,2.82825600,2.67869490,0.67664000
2025-07-18 01:50:00,ENAUSDT,419496185.0000000000000000,166913924.3443090000000000,2.83981112,2.78740500,2.69139273,1.28786600
2025-07-18 01:55:00,ENAUSDT,420710140.0000000000000000,169227683.6014116000000000,2.83031182,2.74827600,2.69469796,2.11600700
2025-07-18 02:00:00,ENAUSDT,421451072.0000000000000000,169301776.0258137600000000,2.81706878,2.74190900,2.67184131,1.05367800
2025-07-18 02:05:00,ENAUSDT,421122101.0000000000000000,167133444.4614214600000000,3.03602620,2.75831900,2.87568157,0.52220600
2025-07-18 02:10:00,ENAUSDT,420991469.0000000000000000,167428307.2213000000000000,3.02650690,2.76719900,2.85909683,0.89009900
2025-07-18 02:15:00,ENAUSDT,420988676.0000000000000000,167204274.5214845000000000,3.03235187,2.76673800,2.87835186,0.99621200
2025-07-18 02:20:00,ENAUSDT,421172714.0000000000000000,167458271.0864000000000000,3.03577818,2.75483200,2.87603486,0.80937300
2025-07-18 02:25:00,ENAUSDT,421261579.0000000000000000,168130408.0889111500000000,3.02428571,2.75383900,2.87581699,0.90254600
2025-07-18 02:30:00,ENAUSDT,421211860.0000000000000000,167937168.5820000000000000,3.02284898,2.74505200,2.86340934,0.97040100
2025-07-18 02:35:00,ENAUSDT,421306250.0000000000000000,167117561.6220000000000000,3.02680486,2.74763200,2.86471227,0.57696500
2025-07-18 02:40:00,ENAUSDT,421053449.0000000000000000,167046214.8250315200000000,3.02248394,2.76252000,2.85652456,1.14290800
2025-07-18 02:45:00,ENAUSDT,420805831.0000000000000000,166046433.5194446700000000,3.03613596,2.76621000,2.86613148,0.64326900
2025-07-18 02:50:00,ENAUSDT,420520038.0000000000000000,166835500.8739737000000000,3.05803893,2.76768900,2.89798599,0.60812900
2025-07-18 02:55:00,ENAUSDT,420427185.0000000000000000,166236908.9490000000000000,3.03979921,2.76348900,2.88462377,0.97078400
2025-07-18 03:00:00,ENAUSDT,420409099.0000000000000000,166459637.4399332000000000,3.03476703,2.76415200,2.87095373,1.01148700
2025-07-18 03:05:00,ENAUSDT,419438696.0000000000000000,165139700.4680142400000000,2.85118620,2.76638100,2.71665575,0.45372600
2025-07-18 03:10:00,ENAUSDT,419211759.0000000000000000,165504802.4532000000000000,2.83810888,2.77223800,2.69778550,0.98650600
2025-07-18 03:15:00,ENAUSDT,418994946.0000000000000000,165607065.2547885500000000,2.83667622,2.77454500,2.69945711,1.39533500
2025-07-18 03:20:00,ENAUSDT,418996050.0000000000000000,165684018.6676290000000000,2.83709273,2.77749300,2.69813368,0.46694400
2025-07-18 03:25:00,ENAUSDT,418924903.0000000000000000,164744434.2174868600000000,2.84949713,2.78357900,2.72534441,0.43369800
2025-07-18 03:30:00,ENAUSDT,418315895.0000000000000000,164490059.1034494000000000,2.85174523,2.79019400,2.70771578,0.72001000
2025-07-18 03:35:00,ENAUSDT,418220248.0000000000000000,164698186.6702104000000000,2.83584229,2.79204900,2.70000000,1.37099700
2025-07-18 03:40:00,ENAUSDT,418248136.0000000000000000,165353396.7720736000000000,2.83906810,2.79384200,2.70256188,1.41205100
