create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-09-04 00:35:00,ETHUSDT,2309902.9190000000000000,5804878431.5637600000000000,1.20614336,1.65273100,2.21681991,1.74570100
2026-09-04 00:40:00,ETHUSDT,2310319.7080000000000000,5788222736.6217540000000000,1.21020734,1.62691100,2.22131289,1.01601700
2026-09-04 00:50:00,ETHUSDT,2309414.3440000000000000,5783119929.5276000000000000,1.20662897,1.63499500,2.21369285,0.37415800
2026-09-04 01:10:00,ETHUSDT,2305793.4250000000000000,5771862101.4600000000000000,1.19817757,1.64352600,2.19722598,0.68936400
2026-09-04 03:20:00,ETHUSDT,2327736.2460000000000000,5841923933.1265090000000000,1.22561312,1.69457700,2.14848494,1.03407000
2026-09-04 03:25:00,ETHUSDT,2327222.5440000000000000,5832880767.6052800000000000,1.22531160,1.69656100,2.14800255,0.51620900
2026-09-04 04:10:00,ETHUSDT,2324339.9460000000000000,5826078922.3125570000000000,1.22795441,1.68953400,2.14748856,1.65054200
2026-09-04 04:40:00,ETHUSDT,2351711.2120000000000000,5906181606.2652800000000000,1.20864403,1.72957600,2.12110155,0.43540500
2026-09-04 04:50:00,ETHUSDT,2347892.8320000000000000,5887416827.4164370000000000,1.21660030,1.73597600,2.13032672,0.81785100
2026-09-04 05:20:00,ETHUSDT,2346308.0030000000000000,5901031688.3125570000000000,1.22327314,1.74085200,2.14037205,0.91944900
2026-09-04 05:25:00,ETHUSDT,2345898.8140000000000000,5888136046.2451640000000000,1.22591902,1.74149700,2.14260056,0.40556100
2026-09-04 05:30:00,ETHUSDT,2342861.4000000000000000,5880293342.7204260000000000,1.22789108,1.73827400,2.14387045,0.58767500
2026-09-04 05:45:00,ETHUSDT,2340213.9600000000000000,5865849332.7242750000000000,1.23409140,1.72890000,2.15196234,0.98751100
2026-09-04 05:55:00,ETHUSDT,2335008.5430000000000000,5856084675.4168500000000000,1.23596313,1.72680300,2.15409242,1.95034000
2026-09-04 06:20:00,ETHUSDT,2337604.6410000000000000,5861526944.1454935000000000,1.23056000,1.73790100,2.14260807,0.62741300
2026-09-04 07:45:00,ETHUSDT,2330406.9670000000000000,5842212951.0421380000000000,1.24373904,1.74299900,2.15842764,0.75665400
2026-09-04 08:50:00,ETHUSDT,2336394.7090000000000000,5910142029.1808100000000000,1.23403082,1.75575700,2.16505576,1.34409500
2026-09-04 08:55:00,ETHUSDT,2336780.2520000000000000,5903711732.0603600000000000,1.23524056,1.75019300,2.16546632,0.95772900
2026-09-04 09:05:00,ETHUSDT,2339198.2920000000000000,5913119010.4492800000000000,1.23300322,1.74705500,2.16006344,0.70750000
2026-09-04 09:10:00,ETHUSDT,2342084.4270000000000000,5924377704.5077030000000000,1.23367140,1.74926200,2.16768699,1.49655300
2026-09-04 09:15:00,ETHUSDT,2335767.6870000000000000,5928387866.3207860000000000,1.23957631,1.74699900,2.20053088,1.51816200
2026-09-04 09:20:00,ETHUSDT,2331631.7980000000000000,5879139629.7030600000000000,1.23570466,1.74433200,2.19212838,0.64645700
2026-09-04 10:15:00,ETHUSDT,2318382.8750000000000000,5831900514.9794480000000000,1.24769889,1.74973500,2.20237163,0.91570600
2026-09-04 10:20:00,ETHUSDT,2318489.0610000000000000,5833735805.5069800000000000,1.24761491,1.74867400,2.20110831,1.14341300
2026-09-04 10:45:00,ETHUSDT,2320970.9920000000000000,5859569785.8230400000000000,1.27336409,1.74536700,2.22609924,0.65289800
2026-09-04 10:55:00,ETHUSDT,2321841.3020000000000000,5863160398.6086860000000000,1.27461879,1.74423200,2.22748706,0.89508800
2026-09-04 12:00:00,ETHUSDT,2316508.2550000000000000,5840635428.4140500000000000,1.28572121,1.73228700,2.23495825,0.94726400
2026-09-04 12:25:00,ETHUSDT,2312574.3780000000000000,5852405941.0834260000000000,1.26815304,1.73645700,2.22362798,1.41922200
2026-09-04 12:55:00,ETHUSDT,2277428.9720000000000000,5579951498.5869200000000000,1.46363536,1.70774100,2.48702021,0.65629400
2026-09-04 13:20:00,ETHUSDT,2278986.2340000000000000,5586190071.8156640000000000,1.47032955,1.70963300,2.49566644,1.09377300
2026-09-04 14:40:00,ETHUSDT,2264472.9840000000000000,5531767828.9644000000000000,1.52236587,1.77448700,2.56653198,0.56034500
2026-09-04 15:10:00,ETHUSDT,2261664.9350000000000000,5535198761.9190000000000000,1.53012965,1.78802300,2.58193435,0.58163400
2026-09-04 15:15:00,ETHUSDT,2262744.8070000000000000,5541122620.6219500000000000,1.53325801,1.78608700,2.58706136,1.25506900
2026-09-04 15:30:00,ETHUSDT,2265392.7360000000000000,5554645524.0913170000000000,1.52436515,1.78522000,2.57649427,0.67975700
2026-09-04 16:35:00,ETHUSDT,2270639.1190000000000000,5576252200.3992430000000000,1.51937919,1.76139300,2.57010912,0.70281600
2026-09-04 16:40:00,ETHUSDT,2271350.2600000000000000,5587311777.3977550000000000,1.51649650,1.76274500,2.56580255,1.69407300
2026-09-04 16:45:00,ETHUSDT,2273312.0630000000000000,5591347417.6722800000000000,1.51793255,1.76325000,2.56835311,0.71098100
2026-09-04 17:15:00,ETHUSDT,2270204.7020000000000000,5560515151.7721300000000000,1.51564614,1.77759100,2.56595641,0.90421400
2026-09-04 18:00:00,ETHUSDT,2265166.1340000000000000,5543676989.7062400000000000,1.52709569,1.79206500,2.58586462,3.64635600
2026-09-04 18:05:00,ETHUSDT,2264227.2450000000000000,5541582970.7752500000000000,1.53116824,1.79106300,2.59103464,0.84142100
2026-09-04 18:30:00,ETHUSDT,2263599.0350000000000000,5545054293.9955060000000000,1.53515592,1.78500200,2.59955924,2.04612000
2026-09-04 18:55:00,ETHUSDT,2262968.7140000000000000,5543486309.8268795000000000,1.53619884,1.78134600,2.60233588,1.33703900
2026-09-04 19:05:00,ETHUSDT,2263225.1050000000000000,5551668550.3139500000000000,1.53358422,1.77977400,2.60210422,1.72909900
2026-09-04 19:20:00,ETHUSDT,2262684.2560000000000000,5557017596.0670210000000000,1.53435093,1.77604700,2.60395585,1.49466400
2026-09-04 19:40:00,ETHUSDT,2260793.3180000000000000,5547346209.2078650000000000,1.53310333,1.77231000,2.60374726,0.62988800
2026-09-04 21:00:00,ETHUSDT,2252660.9860000000000000,5523123484.6189500000000000,1.51734847,1.76567600,2.58026009,1.06658200
2026-09-04 21:15:00,ETHUSDT,2251318.3270000000000000,5522299719.2291120000000000,1.51939430,1.76695800,2.58516753,0.61303100
2026-09-04 21:25:00,ETHUSDT,2251827.1500000000000000,5520804623.6550000000000000,1.51981345,1.76771700,2.58430019,0.57654100
2026-09-04 21:40:00,ETHUSDT,2249883.3070000000000000,5524005439.2576140000000000,1.51933296,1.76731300,2.58228824,1.87633800
2026-09-04 22:00:00,ETHUSDT,2249142.0720000000000000,5514626463.4953600000000000,1.51821496,1.76705400,2.58351296,1.49134500
2026-09-04 22:55:00,ETHUSDT,2249379.9600000000000000,5510958408.2004000000000000,1.51884205,1.76674800,2.58296113,0.74304500
2026-09-04 23:05:00,ETHUSDT,2249038.1630000000000000,5509176412.9399100000000000,1.52160127,1.76843300,2.58543854,0.83727600
2026-09-04 23:30:00,ETHUSDT,2249507.1010000000000000,5515265724.5175280000000000,1.52323043,1.76898300,2.58945280,0.61359300
2026-09-04 23:40:00,ETHUSDT,2249156.7470000000000000,5515706262.7815280000000000,1.52318331,1.76857600,2.58982146,0.29576400
2026-09-04 23:50:00,ETHUSDT,2249461.8650000000000000,5519122169.6334500000000000,1.52305643,1.76938500,2.58764496,2.25764200
2026-09-04 00:10:00,ETHUSDT,2307658.7190000000000000,5784908106.5507700000000000,1.20976270,1.64766700,2.22260801,0.48455600
2026-09-04 00:20:00,ETHUSDT,2308996.6570000000000000,5792118512.1786140000000000,1.20738413,1.65353500,2.21820463,1.87423800
2026-09-04 00:30:00,ETHUSDT,2309908.1180000000000000,5801139847.9469340000000000,1.20504338,1.65365800,2.21442996,0.82835900
2026-09-04 00:45:00,ETHUSDT,2308331.7170000000000000,5778748156.8149090000000000,1.21030306,1.63112400,2.21929028,0.57138300
2026-09-04 01:20:00,ETHUSDT,2303490.7920000000000000,5763472171.0315200000000000,1.19726948,1.64173600,2.19454957,0.85241700
2026-09-04 01:25:00,ETHUSDT,2302747.3430000000000000,5765020083.0942200000000000,1.19477521,1.64263300,2.19057501,0.59810800
2026-09-04 01:55:00,ETHUSDT,2302581.2550000000000000,5769969289.4668500000000000,1.25010350,1.68579300,2.18663249,1.44470200
2026-09-04 02:05:00,ETHUSDT,2302657.1070000000000000,5756504608.0735800000000000,1.24829096,1.68615000,2.18386162,1.03605400
2026-09-04 02:15:00,ETHUSDT,2302344.6260000000000000,5757358089.0069000000000000,1.24702338,1.68703600,2.17992430,0.92305500
2026-09-04 02:25:00,ETHUSDT,2306330.9100000000000000,5761537499.5074000000000000,1.24434905,1.68432300,2.17598379,0.48658800
2026-09-04 02:40:00,ETHUSDT,2308337.5130000000000000,5770271833.7341330000000000,1.24173989,1.68309000,2.16958832,0.83831400
2026-09-04 03:10:00,ETHUSDT,2324902.3300000000000000,5835993077.7893000000000000,1.22880623,1.69363100,2.15436374,0.95857400
2026-09-04 03:15:00,ETHUSDT,2327259.4260000000000000,5841490977.0427800000000000,1.22612993,1.69379200,2.15008814,1.62223800
2026-09-04 03:45:00,ETHUSDT,2327181.3890000000000000,5830590067.4422700000000000,1.22560844,1.69360000,2.14820434,0.61603300
2026-09-04 04:00:00,ETHUSDT,2324223.7640000000000000,5816439696.1229200000000000,1.22577629,1.68920100,2.14733443,1.23146200
2026-09-04 04:35:00,ETHUSDT,2357375.4040000000000000,5932264482.9038800000000000,1.20764120,1.73246500,2.12035244,0.50162200
2026-09-04 04:45:00,ETHUSDT,2350050.9500000000000000,5895770350.0585640000000000,1.21333841,1.73370100,2.12843097,0.57500400
2026-09-04 06:40:00,ETHUSDT,2325946.1900000000000000,5832682222.8154000000000000,1.24723637,1.73052600,2.16448822,2.20584400
2026-09-04 06:50:00,ETHUSDT,2325861.4910000000000000,5828678672.2907300000000000,1.24586305,1.73070700,2.16250699,0.94818600
2026-09-04 07:10:00,ETHUSDT,2328286.6770000000000000,5853592987.2469180000000000,1.23939075,1.73690800,2.15462099,1.04732400
2026-09-04 07:25:00,ETHUSDT,2330834.3510000000000000,5851135950.3284880000000000,1.23783525,1.74188900,2.15100590,1.13906100
2026-09-04 07:30:00,ETHUSDT,2330555.9570000000000000,5846779529.1147800000000000,1.23773377,1.74159900,2.15087693,0.46407800
2026-09-04 07:50:00,ETHUSDT,2330721.8700000000000000,5835591496.4499000000000000,1.24390712,1.74433600,2.15719154,0.85455900
2026-09-04 07:55:00,ETHUSDT,2330706.2130000000000000,5834992925.4318900000000000,1.24640746,1.74559600,2.15909434,0.76832900
2026-09-04 08:30:00,ETHUSDT,2336995.0820000000000000,5885114495.2956800000000000,1.23109904,1.74666500,2.13749963,1.31663800
2026-09-04 08:35:00,ETHUSDT,2337239.0290000000000000,5887715465.5636100000000000,1.22438666,1.75028200,2.12756264,1.26337600
2026-09-04 08:40:00,ETHUSDT,2339865.9910000000000000,5892649893.8070920000000000,1.22176990,1.75014600,2.12299854,1.34453000
2026-09-04 08:45:00,ETHUSDT,2335317.7100000000000000,5897225474.3103640000000000,1.23285995,1.76067100,2.16456138,1.59863600
2026-09-04 09:25:00,ETHUSDT,2330675.0150000000000000,5876680516.5717500000000000,1.24181731,1.74972400,2.20114881,0.91875400
2026-09-04 09:35:00,ETHUSDT,2328911.3110000000000000,5890631824.4778500000000000,1.24828152,1.74726500,2.21005853,0.91414300
2026-09-04 09:40:00,ETHUSDT,2329024.8760000000000000,5888543464.7370800000000000,1.24758486,1.74526400,2.20655516,0.86810700
2026-09-04 10:10:00,ETHUSDT,2322963.5550000000000000,5851475506.1383500000000000,1.25124937,1.74311400,2.20608108,0.68553700
2026-09-04 10:25:00,ETHUSDT,2318160.1960000000000000,5842397683.7734030000000000,1.26843758,1.74968100,2.21875144,2.37354500
2026-09-04 10:30:00,ETHUSDT,2318570.1340000000000000,5846673386.9440480000000000,1.27280861,1.74914600,2.22522176,1.17851700
2026-09-04 10:40:00,ETHUSDT,2320536.4040000000000000,5863547528.9028015000000000,1.27428129,1.74724400,2.22869797,1.01219000
2026-09-04 11:05:00,ETHUSDT,2321308.5410000000000000,5854943680.6226600000000000,1.27761115,1.74438200,2.22957695,0.90525500
2026-09-04 11:10:00,ETHUSDT,2320657.8850000000000000,5851634345.8104850000000000,1.27774821,1.74564000,2.22872104,1.05157100
2026-09-04 11:20:00,ETHUSDT,2319434.5760000000000000,5852963893.5087330000000000,1.27829938,1.74328400,2.22745200,1.36465100
2026-09-04 11:25:00,ETHUSDT,2319569.0920000000000000,5855241867.5537600000000000,1.27992255,1.73964100,2.22968285,1.61405300
2026-09-04 11:50:00,ETHUSDT,2316898.0740000000000000,5846391092.9893800000000000,1.28523986,1.73083300,2.23433109,1.17508700
2026-09-04 12:35:00,ETHUSDT,2262728.6250000000000000,5565096963.8787820000000000,1.39312026,1.73051900,2.39820179,1.20092200
2026-09-04 12:50:00,ETHUSDT,2273080.1320000000000000,5584019514.1797960000000000,1.46334553,1.70507300,2.48824940,1.02359600
2026-09-04 13:00:00,ETHUSDT,2281182.2610000000000000,5581710815.3278500000000000,1.46765280,1.69314700,2.49093552,0.95548400
2026-09-04 13:05:00,ETHUSDT,2278373.0200000000000000,5576587256.0150510000000000,1.46151105,1.70687700,2.48351555,1.48045800
2026-09-04 13:30:00,ETHUSDT,2278880.8070000000000000,5568650351.1771300000000000,1.48336233,1.70581700,2.51126142,0.85283300
2026-09-04 13:40:00,ETHUSDT,2276764.5330000000000000,5576957491.2288300000000000,1.50213901,1.72999300,2.53018029,0.82772300
2026-09-04 13:50:00,ETHUSDT,2271234.4590000000000000,5562003354.3005100000000000,1.50636310,1.75683100,2.54547984,0.54762500
2026-09-04 13:55:00,ETHUSDT,2270788.9020000000000000,5565853276.0131360000000000,1.50889411,1.76607000,2.54769974,1.45759300
2026-09-04 14:15:00,ETHUSDT,2264344.8890000000000000,5535508089.4449600000000000,1.51791513,1.77270200,2.55839073,0.93023500
2026-09-04 14:35:00,ETHUSDT,2264194.9520000000000000,5549333328.3485130000000000,1.50982685,1.77614000,2.54828553,0.91058300
2026-09-04 14:55:00,ETHUSDT,2264079.7740000000000000,5522430026.4324230000000000,1.52379078,1.78371100,2.56991274,1.67176400
2026-09-04 15:00:00,ETHUSDT,2264861.1990000000000000,5529963899.5849160000000000,1.52654531,1.78141200,2.57431052,1.15164500
2026-09-04 15:35:00,ETHUSDT,2266390.4650000000000000,5566073670.8028000000000000,1.52170855,1.78180700,2.57241464,1.27264700
2026-09-04 15:40:00,ETHUSDT,2267647.6670000000000000,5566417404.6615700000000000,1.51809363,1.77988500,2.56890891,0.75236200
2026-09-04 15:45:00,ETHUSDT,2266399.8840000000000000,5554243531.7199600000000000,1.51850394,1.78174300,2.56609897,0.61016300
