create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-07-03 00:05:00,SOLUSDT,10563222.2200000000000000,852874562.0428000000000000,1.83639418,1.28609700,1.71971210,1.04416900
2026-07-03 00:10:00,SOLUSDT,10564316.5400000000000000,851378269.9586000000000000,1.83591941,1.28709200,1.71674191,0.78851500
2026-07-03 00:15:00,SOLUSDT,10567646.0600000000000000,852809037.0420000000000000,1.83697226,1.28611600,1.72097054,1.01289700
2026-07-03 00:20:00,SOLUSDT,10558611.1100000000000000,852291088.7992000000000000,1.83870220,1.28567400,1.71991264,0.66031200
2026-07-03 00:25:00,SOLUSDT,10558386.8300000000000000,851465849.5643000000000000,1.83611111,1.28363500,1.71825158,1.27341600
2026-07-03 00:30:00,SOLUSDT,10555636.9500000000000000,850581349.0491967000000000,1.83461516,1.28247500,1.71714286,1.07999800
2026-07-03 00:35:00,SOLUSDT,10549143.8900000000000000,849594174.7556376000000000,1.83166715,1.28081000,1.71466126,1.38013900
2026-07-03 00:40:00,SOLUSDT,10551770.4700000000000000,852009685.9632096000000000,1.83035972,1.28027500,1.71135026,1.21304800
2026-07-03 00:45:00,SOLUSDT,10558706.6200000000000000,853249081.9622000000000000,1.83035199,1.27970900,1.71205307,1.18322700
2026-07-03 00:50:00,SOLUSDT,10563274.4300000000000000,853512573.9440000000000000,1.83200600,1.27893800,1.71929100,0.89244200
2026-07-03 00:55:00,SOLUSDT,10569339.6600000000000000,853579870.9416000000000000,1.83316020,1.27907200,1.71965915,0.64788400
2026-07-03 01:00:00,SOLUSDT,10571399.8000000000000000,853271194.1952056000000000,1.83425669,1.27651700,1.72072512,0.57869500
2026-07-03 01:05:00,SOLUSDT,10568188.3300000000000000,855830364.0509189000000000,1.83534438,1.27684300,1.72339307,0.84979200
2026-07-03 01:10:00,SOLUSDT,10568821.9800000000000000,857601722.3120002000000000,1.84047908,1.27808500,1.73243845,1.73714300
2026-07-03 01:15:00,SOLUSDT,10585072.0400000000000000,859614598.3000611000000000,1.84576595,1.27464900,1.73616828,1.29665300
2026-07-03 01:20:00,SOLUSDT,10593533.7600000000000000,858819378.6865437000000000,1.85023202,1.27030200,1.74478555,0.99034100
2026-07-03 01:25:00,SOLUSDT,10607648.0000000000000000,861097020.7989334000000000,1.85314442,1.26502600,1.74732058,1.40253200
2026-07-03 01:30:00,SOLUSDT,10615542.3400000000000000,861238950.0442000000000000,1.85564914,1.26238400,1.75044509,1.28154100
2026-07-03 01:35:00,SOLUSDT,10622032.6500000000000000,864102356.0775000000000000,1.85792382,1.26047300,1.75664995,1.66370700
2026-07-03 01:40:00,SOLUSDT,10634728.7500000000000000,867262129.5625000000000000,1.87990870,1.26059500,1.77973315,1.85158800
2026-07-03 01:45:00,SOLUSDT,10641623.2600000000000000,866440965.8292000000000000,1.88016843,1.25401600,1.79042447,1.30798200
2026-07-03 01:50:00,SOLUSDT,10653140.9600000000000000,868870176.6976000000000000,1.88040236,1.25107000,1.79266225,1.73621500
2026-07-03 01:55:00,SOLUSDT,10658424.2800000000000000,869926595.3291047000000000,1.88245963,1.24802500,1.79309017,2.14700600
2026-07-03 02:00:00,SOLUSDT,10660222.6100000000000000,867955324.9062000000000000,1.88354401,1.24783800,1.79343681,1.09994700
2026-07-03 02:05:00,SOLUSDT,10663687.4800000000000000,868450708.3712000000000000,1.88198830,1.24860000,1.79539938,1.03380300
2026-07-03 02:10:00,SOLUSDT,10655872.2600000000000000,869831768.8795977000000000,1.88140745,1.24635800,1.79686356,0.73208300
2026-07-03 02:15:00,SOLUSDT,10653549.8000000000000000,865707456.7480000000000000,1.87868699,1.24675400,1.79324683,0.47408300
2026-07-03 02:20:00,SOLUSDT,10657836.6500000000000000,867547903.3100000000000000,1.87757484,1.24783400,1.79041617,1.33502600
2026-07-03 02:25:00,SOLUSDT,10657371.0100000000000000,867658668.3015416000000000,1.87920873,1.24811400,1.79192439,1.07954600
2026-07-03 02:30:00,SOLUSDT,10657012.1100000000000000,864496822.3632000000000000,1.87815126,1.24512600,1.78876215,0.38315100
2026-07-03 02:35:00,SOLUSDT,10661056.1300000000000000,863210501.7322236000000000,1.87709465,1.24487100,1.78080878,0.97966100
